Name of Workout|My Personalized Workout Description|Need changes??
Bar Dip|Grip a dip station about shoulder width apart, then lower yourself with control until your shoulder is below your elbow, or as deep as you can go, then reverse the motion and return to your starting position|
Bench Press|Lie down on the bench, put your shoulder blades together and slightly arch your back, then grip the bar slightly wider than shoulder width apart, lower the bar until it touches your chest (somewhere close to your sternum), then push the bar back to starting position and repeat|
Cable Chest Press|Fasten a pair of handles in the top position of a cable cross. Grip the handles and take a step forward and lean slightly forward. Now push the handles forward until they meet the front of your body. Lastly with control let the handles go back to the starting position|
Close-Grip Bench Press|Lie down on the bench, put your shoulder blades together and slightly arch your back. Grip the bar narrower than a regular bench press so your hands are directly above your shoulders or even closer. Lower the bar with control until it touches your chest around where your ribs end. Now push the bar up to the starting position and repeat.|
Close-Grip Feet-Up Bench Press|Lie down on the bench, put your shoulder blades together and slightly arch your back. Grip the bar narrower than a regular bench press so your hands are directly above your shoulders or even closer. Lift your feet up in the air. Lower the bar with control until it touches your chest around where your ribs end. Now push the bar up to the starting position and repeat. |
Decline Bench Press|Set a bench so that is in a decline, either by adjusting the backrest or by elevating the foot. Lie down on the bench, pull your shoulder blades together and down. Grip the bar slightly wider than shoulder width apart. Lower the bar with control until it touches your chest. Push the bar back up to resting then repeat.|
Dumbbell Chest Fly|Lie on a bench and lift a pair of dumbbells to the starting position. With almost completely straight arms, lower the dumbbells out to your sides. When you've lowered the dumbbells as deep as possible, reverse the motion and return the dumbbells to the starting position. Repeat for reps|
Dumbbell Chest Press|Lie on a bench, and lift a pair of dumbbells up to the starting position. Press the dumbbells up to straight arms. Lower the dumbbells with control back to your shoulders. Repeat for reps|
Dumbbell Decline Chest Press|Set a bench so that is in a decline, either by adjusting the backrest or by elevating the foot. Lie down on the bench, and lift a pair of dumbbells to the starting position. Press the dumbbells up to straight arms. Lower the dumbbells with control back to your shoulders. Repeat for reps. |
Dumbbell Floor Press|Sit on the floor with your legs straight and a pair of dumbbells beside you. Pick up the dumbbells up and place them in your hip creak. Lay down while you bring the dumbbells up to your chest. Press them dumbbells to straight arms, bend your knees, and place your feet flat on the floor. Lower the dumbbells slowly till your upper arms hit the floor. Reverse the motion and push dumbbells up to straight arms again. Repeat till finished.|
Dumbbell Pullover|Lie down on a bench and lift a single dumbbell up to almost straight arms above you. Lower the dumbbell down behind your head, while keeping your arms almost completely straight, just with a slight bend in the elbows. Reverse the motion and return the dumbbell to the starting position above your head.|
Feet-Up Bench Press|Lie on a bench, pull your shoulder blades together and down, and slightly arch your back. Grip the bar slightly wider than shoulder-width apart. Lift your feet up and hold them up in the air. Lower the bar with control until it touches your chest somewhere close to the sternum. Push the bar back to its original position. Repeat for reps|
Floor Press|Lie down on the floor with your eyes under the racked bar. Grip the bar slightly wider than shoulder-width apart. Pull your shoulder blades down and together, and unrack the bar. Lower the bar slowly until your upper arms hit the floor. Reverse the motion and push the bar up to straight arms. Repeat for reps.|
Incline Bench Press|Sitting on an inclined bench, unrack a barbell and hold it so your arms straight above your shoulders. Lower the bar down to your chest. Press the bar up back to where your arms are straight. Repeat for reps.|
Incline Dumbbell Press|Adjust the incline of a bench to be around 30-45 degrees. Sit down and lift a pair of dumbbells to the starting position. Press the dumbbells up to straight arms. Lower the dumbbells with control back to your shoulders. |
Incline Push-Up|Find an elevated surface, you could even use a bench press. Start with your hands slightly wider than shoulders width apart. Try to form a straight line from head to feet and brace your abdomen slightly. Lower yourself as deep as you can. Reverse the motion when you have touched the elevated surface and push yourself up to straight arms again. Repeat for reps.|
Kneeling Incline Push-Up|Find an elevated surface, you could even use a bench press. Assume the starting position on your knees, with your hands on an elevation, and your hands slightly wider than shoulder width apart. Try to form a straight line from head to knee and brace your abdomen slightly. Lower yourself as deep as you can. Reverse the motion when you've touched the elevated surface, and push yourself up to straight arms. Repeat for reps.|
Kneeling Push-Up|Assume the starting position with your hands slightly wider than shoulder width apart. Try to form a straight line from your head to knees and brace your abdomen slightly. Lower yourself as deep as you can. Reverse the motion when you've touched the floor, then push yourself up to straight arms again. Repeat for reps|
Machine Chest Fly|Adjust the back support and handles so that you can grip the handles at shoulder height and get a long range of motion. With just a slight bend in the arms, push the handles forward until they meet in front of your body. With control, let the handles go back to the starting position. Repeat for reps|
Machine Chest Press|Adjust the machine to your personalized appropriate settings, sit down, and grip the handles. Press the handles forward until your arms are straight. Bring the handles back to the starting position with control. Repeat for reps.|
Pec Deck|Adjust the back support and handles, so you can lean your elbows against the pads while your upper arms are horizontal. Push the pads forward until they meet in front of your body. With control, let the pads go back to the starting position. Repeat for reps.|
Push-Up|Assume the starting position with your hands slightly wider than shoulder width apart. Try to form a straight line from your head to your feet, and brace your abdomen slightly. Lower yourself as deep as you can. Reverse the motion when you have touched the floor, now push yourself up to straight arms again. Repeat for reps.|
Push-Up Against Wall|Find a wall with enough space for you to perform push-ups. Now assume the starting position with your hands slightly wider than your shoulder width. Try to form a straight line from head to feet, and brace your abdomen slightly. Lower yourself as deep as you can. Reverse the motion when you've touched the wall and push yourself back up to straight arms. Repeat for reps.|
Push-Up with Feet in Rings|Assume your starting position with hands slightly wider than shoulder width apart. Now place your feet in the rings, and try to form a straight line from head to feet, and brace your core slightly. Lower yourself as deep as you can. Reverse the motion and push yourself up to straight arms again. Repeat for reps|
